번호,Name,Keyword,Main Text,Flavor Text,Flavor Text Name,이름,키워드,메인 텍스트,플레이버 텍스트,플레이버 텍스트 이름
E1,Family Appreciation Day,,Win this Goal when: 4 Ponies with the Apple keyword are shipped in a chain.,Big Mac was as sturdy as an ancient oak. Applejack had enough smarts for a whole herd of sheep. And Granny was as wise as the earth itself. But those aren't the only things that set the Apple Family apart from every other family in Ponyville…,Passion in Cider,가족 모임의 날,,"""애플 가족"" 키워드를 가진 포니 4마리가 체인으로 커플링 되어 있습니다.","빅 맥은 참나무 고목처럼 튼튼했고, 애플잭은 양 떼 한 무리에 버금가는 지능을 가지고 있었으며, 그래니 스미스는 이 대지만큼이나 현명했다. 그러나 애플 가족이 포니빌의 다른 모든 가족과 구별되는 점은 이것뿐만이 아니었다...",사이다 속 열망
E2,Big Mac is Big Mackin',,Win this Goal when: Big Macintosh is shipped with 3 {female}.,He couldn't deny it: he was the talk of the town with his muscular flanks and his strong plot. His strong plot to take over as mayor!,Electoral College Girls,맥박뛰는 빅 맥,,빅 맥킨토시가 아무 {female} 3마리와 커플링 되어 있습니다.,빅 맥은 부정할 수 없었다. 그의 근육질 옆구리와 강력한 엉덩이로 온 마을이 화제였다. 이제 시장 자리를 빼앗을 계획을 실행에 옮길 때였다!,선거인단 여자들
E3,My Waifu,,"Win this Goal when:
 Any Pony with the OC keyword is shipped with any Pony with the Mane 6 keyword.","She no longer had wings, it was true. But Kefentse could make her own. She was a prodigy; they'd all said so. And with the help of her gorgeous new technologically savvy friend, Twilight, she knew they would be the best wings the world had EVER seen!","Blood and Darkness, Chapter 4",내 와이푸,,"""자캐"" 키워드를 가진 포니가 아무 ""메인 6"" 키워드를 가진 포니와 커플링 되어 있습니다.","그녀가 더 이상 날개를 가지고 있지 않다는 것은 사실이었다. 하지만 케펜체는 자신만의 날개를 만들 수 있었다. 모두가 칭송했듯이, 그녀는 천재였다. 그리고 우아하며 신기술에 능통한 새로운 친구 트와일라잇의 도움 덕분에, 그녀는 세상에서 가장 뛰어난 날개를 만들 것이라고 짐작했다.","피와 어둠, 4장"
E4,Book Club,,"Win this Goal when:
 Twilight Sparkle is shipped with 5 Ponies.","Now, Twilight said, smiling at the attentive, happy faces around her. ""Next we're going to read A Critical Study of Ancient Influences from the Neighji Period!"" The crowd cheered! They loved learning!!",Twilight's Super Successful Book Club!,독서회,,트와일라잇 스파클이 포니 5마리와 커플링 되어 있습니다.,"""자, 이제,"" 트와일라잇이 주변의 행복하게 집중하고 있는 얼굴들을 향해 미소 지으며 말했다. ""이제 중세 '말'기의 고대 영향력에 대한 비판적 연구를 읽을 거예요!"" 군중은 환호했다. 이들은 배우는 것을 사랑했다!",트와일라잇의 매우 성공적인 독서회
E5,Enjoying the Scenery,,"Win this Goal when:
 Rarity is shipped with 4 Ponies.","But Rarity, Caramel whined, trying to get used to the weird garment, ""why can't I just be naked like usual?"" Rarity snapped her fan shut. ""Because, darling, this is much nicer to look at."" Caramel didn't get it, but whatever Rarity wants, Rarity gets.",Pool Toys,기가막힌 경치,,래리티가 포니 4마리와 커플링 되어 있습니다.,"""그치만 래리티,"" 캐러멜은 어색한 옷에 익숙해지려고 애쓰며 말했다. ""그냥 평상시처럼 발가벗고 있으면 안 되는 거야?"" 래리티는 부채를 날카롭게 접으며 말했다. ""안 돼, 자기. 이게 훨씬 더 보기 좋은 걸."" 캐러멜은 받아들이지 못했지만, 래리티가 원하는 것이라면 해야만 했다.",물놀이 장난감
E6,Iron Pony Competition,,"Win this Goal when:
 Rainbow Dash is shipped with 4 Ponies.","SLAM! Rainbow Dash threw another opponent's meaty hoof to the table and laughed with delight. ""Take that, Iron Will! I'M the Iron Pony now!"" But Iron Will was too exhausted to respond. What a bout that was!",Rock and Roll All Night,철포니 경기,,레인보우 대쉬가 포니 4마리와 커플링 되어 있습니다.,"쾅! 레인보우 대쉬는 또 다른 상대의 두툼한 발굽을 테이블 위로 짓누르며 기쁜 듯이 웃었다. ""어때, 아이언 윌! 이제 내가 철포니야!"" 하지만 아이언 윌은 대꾸할 힘조차 없었다. 대단한 시합이었다!",밤새도록 로큰롤
E7,Cider Squeezin',,"Win this Goal when:
 Applejack is shipped with 4 Ponies.","Well, git along, l'il doggies! Applejack said, a coy smile for the strapping stallions flanking her as they hauled barrels into the dense, shaded orchard in a deep, distant corner of Sweet Apple Acres. ""Time to make hay while th' sun's still shinin', y'hear?""",Applebuckin' Season,사이다 짜내기,,애플잭이 포니 4마리와 커플링 되어 있습니다.,"""자, 얼릉 가제이!"" 애플잭은 스위트 애플 농장의 깊숙하고 먼 구석에 있는 빽빽하고 그늘진 과수원으로 통을 옮기고 있는 숫말들에게 수줍은 듯한 미소를 지으며 말했다. ""햇빛이 아직 쨍쨍할 동안 일을 마쳐야 한데이, 알겠나?""",애플벅 시즌
E8,"Ain't No Party Like
 a Pinkie Pie Party",,"Win this Goal when:
 Pinkie Pie is shipped with 4 Ponies.","It never ends, sobbed Pinkie as her cracked hooves danced precariously across the floor. She suddenly began to headbang. ""I can't make it stop! Please, Twilight! Please help me!"" But Twilight only shook her head. ""I'm sorry, Pinkie. Pinkie Pie parties…"" Her eyes hardened, ""…don't stop.""",Party Hardy: Party in Hell,핑키파이 파티만한 파티도 없지,,핑키 파이가 포니 4마리와 커플링 되어 있습니다.,"""멈추지를 않아,"" 라고 핑키 파이가 흐느끼면서도 갈라진 발굽이 위태롭게 바닥을 가로질러 춤추고 있었다. 그녀는 갑자기 헤드뱅잉을 시작했다. ""멈출 수가 없어! 제발, 트와일라잇! 날 좀 도와줘!"" 하지만 트와일라잇은 고개를 저을 뿐이었다. ""미안해, 핑키. 핑키 파이 파티는…"" 그녀의 시선이 굳어졌다. ""…멈추지 않아.""",파티 하드: 지옥의 파티
E9,Recruitment,,"Win this Goal when:
 Fluttershy is shipped with 4 Ponies.","Fluttershy didn't think of herself as greedy, in fact, she felt like she had an awful lot of love to give!",Wings of Love,신규 모집,,플러터샤이가 포니 4마리와 커플링 되어 있습니다.,"플러터샤이는 자신이 탐욕스럽다고 생각하지 않았다. 오히려, 자신이 베풀 사랑이 많다고 생각했다!",사랑의 날개
E10,Playing the Game,,"Win this Goal when:
 Any {male} is shipped with 4 {female}",Blueblood watched impassively as his two dates tore each other apart. This was far more fun than the tedium of pretending he was only there for the one.,Picking Daisies,게임의 고수,,아무 {male}이 {female} 4마리와 커플링 되어 있습니다.,블루블러드는 자신의 두 데이트 상대가 서로를 헐뜯는 모습을 무심하게 지켜보았다. 이는 한 사람을 위해 가식을 떠는 것보다 훨씬 재미있었다.,데이지 꽃 꺾기
E11,I Really Like Her Mane!,,"Win this Goal when:
 You break up Smarty Pants with any Pony.","The screaming was loud and grating as they fought, and poor Smarty Pants cringed. Couldn't ponies just play nice?!",Scientific Progress Goes Bzap!,갈기가 정말이지 아름다워!,,잘난척쟁이와 아무 포니의 커플링을 깹니다.,"그들은 싸우면서 요란하고 시끄러운 소리를 질러댔고, 불쌍한 잘난척쟁이는 움츠러들었다. 왜 포니들은 서로 사이좋게 지낼 수 없는거야?",과학의 진보가 치지직!
E12,Picky Picky!,,"Win this Goal when:
 You break up a single Pony card two separate times in one turn.","Oh, what a pig! huffed Rarity in the direction of her date, Blueblood. Leaning in close to the heart-broken Daisy, she whispered, ""Let's get back at him, shall we?""",Picking Daisies,까탈스럽긴!,,한 턴에 한 포니 카드의 커플링을 2번 깹니다.,"""순 돼지놈 아냐!"" 래리티는 데이트 상대인 블루블러드를 향해 씩씩거리며 말했다. 그녀는 마음에 큰 상처를 입은 데이지에게 몸을 가까이 붙이며 속삭였다. ""저 자식에게 복수하자, 어때?""",데이지 꽃 꺾기
E13,Beware the Groove,,"Win this Goal when:
 You break up any {alicorn} with any Pony with the Elder keyword.","Granny laid in the mud, rain spattering across her face as she stared up at the grey skies and the castle ramparts. Celestia, her dearest and oldest friend, had had her defenestrated but that didn't hurt nearly as much as the betrayal…",A Wrinkle in Time,놀이를 방해하지 마,,"아무 {alicorn}과 아무 ""원로"" 키워드를 가진 포니의 커플링을 깹니다.","그래니는 진흙탕에 누워 얼굴로 비를 맞으며 성곽과 회색 하늘을 올려다보았다. 가장 아끼고 오랜 친구인 셀레스티아가 자신을 창밖으로 내던졌음에도, 그것이 배신당했다는 사실만큼 아프지는 않았다.",시간의 주름
E14,A Blessing of Alicorns,,"Win this Goal when:
 5 {alicorn} are on the grid at the same time.","They glimmered in her beautiful sun, sparkling and pristine. All at once, Berry remembered some factoid that alicorns never poop. And especially now, watching their parade, she could believe it was true.",Sparkle Like the Wind,알리콘의 축복,,{alicorn} 5마리가 필드에 존재합니다.,"그들은 그녀의 아름다운 태양 속에서 반짝이며 순수하게 빛났다. 갑자기, 베리는 알리콘들이 절대 화장실을 가지 않는다는 소문을 떠올렸다. 특히 그들의 행진을 지켜보는 지금, 그녀는 이것이 사실일 것만 같았다.",바람처럼 반짝이다
E15,"""There's No Thrill Like Iron Will""",,"Win this Goal when:
 Iron Will is shipped with any Pony with the Villain keyword.","As Iron Will looked in the mirror that morning, he couldn't help but utter a wistful sigh. He had everything: a handsome face, a winning personality, and this killer bod. But one thing he did not have… was love.",Quixotics Exotics,"""나 아이언 윌,
남보다 넘치는 건 스릴""",,"아이언 윌이 아무 ""빌런"" 키워드를 가진 포니와 커플링 되어 있습니다.","아이언 윌이 그날 아침 거울을 보았을 때, 그는 아쉬운 한숨을 내쉴 수 밖에 없었다. 그는 모든 것을 가지고 있었다: 잘생긴 얼굴, 완벽한 성격, 그리고 죽여주는 몸매. 하지만 그가 가지지 못한 한 가지는… 사랑이었다.",몽상같은 공상
E16,Of Ponies and Peril: The Magnum Opus,,"Win this Goal when:
 3 {postapocalypse} are shipped in a chain.","The shrieking, heart-wrenching cries of his beloved undone drew him like a missile across the crumbling ramparts. In the center of the throne room, Rarity curled in an elegant heap, wreathed in a halo of cornflower blue silk. As her head lifted, her gaze, full of terror and remorse, caught Spike's and pleaded with him. ""Please,"" she whispered, as diamonds crashed to the marble floor. ""Please, forgive me.""","Of Ponies and Peril, Chapter 128",포니와 위기: 최후의 걸작,,{postapocalypse} 3마리가 체인으로 커플링 되어 있습니다.,"사랑하는 자의 가슴 찢어지는 처절한 비명 소리가 그를 무너져가는 성벽을 가로질러 쏘아 달리게 했다. 알현실의 정중앙에서, 파란 수레국화 비단에 둘러싸인 래리티는 우아하게 웅크리고 있었다. 그녀가 고개를 들자, 공포와 후회로 가득 찬 그녀의 눈빛이 스파이크와 마주쳤고, 그에게 애원했다. ""제발,"" 다이아몬드들이 대리석 바닥에 떨어지는 와중에 그녀가 속삭였다. ""제발, 나를 용서해 줘.""","포니와 위기, 128장"
E17,Swinging,,"Win this Goal when:
 Any Pony is shipped with Mr. Cake and Mrs. Cake.","Mrs. Cake collapsed on their hotel room bed with a puff of breath, exhausted from the week-long bake-off. They'd made new memories, new recipes…and new friends.",Sprinkles On Top,나눠먹기,,"아무 포니가 ""케이크 아저씨""랑 ""케이크 아줌마""와 커플링 되어 있습니다.","케이크 아줌마는 일주일간 계속된 제빵 대회 내내 계속 빵을 굽느라 지쳐 한숨을 내쉬며 호텔 침대에 피곤한 몸을 던졌다. 그녀는 새로운 추억, 새로운 레시피… 그리고 새로운 친구들을 만들었다.",스프링클 장식
