번호,Name,Keyword,Main Text,Flavor Text,Flavor Text Name,이름,키워드,메인 텍스트,플레이버 텍스트,플레이버 텍스트 이름
E1,Over a Cozy Campfire,,,"The stars winked on and off above them, sparkling like diamonds in the black fabric of time. Applejack sighed contentedly, letting her marshmallow burn itself black with her contentment.",Passion In Cider,아늑한 모닥불 곁에서,,,별들은 둘 위에서 시간이라는 검은 원단에 박힌 다이아몬드처럼 반짝였다. 애플잭은 만족한 듯이 숨을 내쉬며 마시멜로가 검게 타도록 내버려 두었다.,사이다 속 열망
E2,The Noodle Incident,,,"This is just like the noodle incident, Rarity said. ""You and I remember the noodle incident very differently,"" Applejack replied.",Adventurers,그때 그 일,,,"래리티는 이게 그때 그 일이랑 똑같은 것 같다고 말했다. ""니랑 나는 그때 그 일을 정말 다르게 기억하는 것 같구마."" 애플잭이 대답했다.",모험가들
E3,Blind Date,Keyword Change,,"Derpy Hooves smiled hopefully at her date, a lovely gray mare apparently named Vinyl Scratch. But she didn't look like a Vinyl Scratch, Derpy mused. Still, it didn't seem to matter; Vinyl was more interested in her drink than she was in her…",The Skin I'm In,소개팅,키워드 변경,{keyword change},"더피 후브즈는 자신의 데이트 상대인 바이닐 스크래치라는 어여쁜 회색 암말에게 미소 지었다. 하지만 더피가 생각했을 때, 그녀는 바이닐 스크래치처럼 보이지 않았다. 그래도 이건 별로 중요하지 않았다. 바이닐은 자신보다 자기 앞에 있는 음료수에 더 관심이 있는 것 같았다…",나의 가죽
E4,Science Experiments!,Clone,,"Are you sure this is a good idea, Twilight? Silly Spike. He always asks such ADORABLY naive questions. ""Of course it is! With two of me,"" Twilight One started, ""I'll get this done in half the time! Simple mathematics,"" continued Twilight Two.",What Would Happen if Spike Stopped Hiding my Spell Books,과학 실험!,클론,{clone},"""트와일라잇, 이게 정말 좋은 생각일까?"" 바보 같은 스파이크, 항상 그런 순진한 질문들을 귀엽게 던진단 말이지. ""물론이지! 내가 두 명 있으면,"" 트와일라잇 1호가 입을 열자, ""원래 들일 시간의 절반이면 끝낼 수 있어! 단순한 산수잖아."" 트와일라잇 2호가 말을 이어받았다.",스파이크가 내 마법책을 숨기지 않으면 어떻게 될까
E5,High School Sweethearts,,,"Trixie blushed, looking down at her hooves with a blush. She never thought she'd see Caramel again, but there he was, and still so… Cute! Not to mention, an investment baker… But she couldn't focus on him! She had other things to worry about…","Once Again Into the Breach, Chapter 1",학창 시절 연인,,,"트릭시는 얼굴을 붉히며 자신의 발굽을 내려다보았다. 카라멜을 다시 볼 일이 없을 것이라 생각했지만, 지금 눈앞에, 아직도 너무나... 귀여운 모습으로 있었다! 게다가 증권 제빵사라니... 하지만 그녀는 그에게 집중할 수가 없었다! 그녀에겐 신경 써야 할 더 중요한 일이 있었기 때문에...","다시 한 번 지옥으로, 1장"
E6,Prettiest Pony of the Year,,,"Derpy knew she was the belle of the high school reunion ball; everyone told her so! She paused to make a scrunchface in the mirror. It was all the rage, and she was nothing if not hip to current fashions.","Once Again Into the Breach, Chapter 3",올해의 가장 예쁜 포니,,,"더피는 자신이 고등학교 동창회의 최고로 예쁜 포니라는 것을 알고 있었다. 모두가 그렇게 말해줬으니까! 그녀는 거울 앞에 잠시 멈추어 얼굴을 찡그렸다. 요즘은 이런 게 유행이었고, 그녀는 최신 트렌드를 따라가는 힙한 여자였기 때문이다.","다시 한 번 지옥으로, 3장"
E7,"Filly, I'm Fabulous",,,"What more was there to say? Vinyl shrugged at Lyra. ""Sorry, lady-bro; I'm too fabulous to commit murder!""","Once More Into the Breach, Chapter 2","얘야, 난 죽여준다고",,,"더 말할 게 있을까? 바이닐은 라이라에게 어깨를 으쓱여 보였다. ""미안하지만, 아가씨 친구. 나는 살인 같은 걸 하기에는 너무 죽여주거든!""","다시 한 번 지옥으로, 2장"
E8,Body Double,Clone,,"Kefentse sobbed as they led her away from where the bloody incident had taken place. They said she did it, but it wasn't her! ""And I had such high hopes for you,"" Celestia said disappointedly, making Kefentse cry extra hard, ""but I'm sorry. I cannot teach a murderer."" Kefentse gasped!","Blood and Darkness, Chapter 3",대역,클론,{clone},"케펜체는 피로 물든 사건 현장에서 멀리 떨어진 곳으로 이끌리는 와중에도 흐느껴 울었다. 다들 그녀가 범인이라고 말했지만, 이건 사실이 아니었다! ""너에게 큰 기대를 걸었건만,"" 셀레스티아는 실망한 듯이 말했고, 케펜체는 더욱 크게 흐느꼈다. ""미안하지만, 나는 살인마를 가르칠 수 없단다."" 케펜체는 숨이 막혔다!","피와 어둠, 3장"
E9,Favor for a Friend,,,"Tavi sighed into her drink and hoped she wasn't blushing too badly… Stupid Vinyl, coercing her into taking her place on this date; stupid Vinyl, making the beautiful bassist pretend to be her! She wondered how long she'd have to keep up this web of lies… especially since her cross-eyed date was so darn cute… She shrunk lower in her chair, feeling moodier by the second…",The Skin I'm In,친구를 위한 부탁,,,"타비는 술잔에 숨을 뱉어내며, 자신의 얼굴이 너무 붉어지지 않았기를 바랐다… 멍청한 바이닐, 이번 데이트를 대신 나가 달라고 강요할 줄이야. 멍청한 바이닐, 이 아름다운 베이시스트를 자신인 척 흉내 내게 하다니! 그녀는 얼마나 오랫동안 이 거짓말의 그물을 이어나가야 할지 궁금했다… 가뜩이나 저 사시인 애도 너무 귀여운데… 그녀는 매 순간 더 침울해지면서, 의자 속으로 파묻혔다.",나의 가죽
E10,Awkward Dance Party,,,"Octavia gazed somewhere to the left over her date's shoulder, her forelegs aching from having to stay extended. But as the saying goes, she had to save room for Celestia. She knew this was supposed to be a high school reunion, but this was just ridiculous!","Once Again Into the Breach, Chapter 1",어색한 무도회,,,"옥타비아는 자신의 데이트 상대의 어깨 너머 왼쪽 어딘가로 눈길을 돌렸다. 뻗은 채로 있던 앞발이 쑤셔왔지만, 커플 사이에는 셀레스티아가 들어갈 공간은 남겨두라는 옛말이 괜히 있는 게 아니었다. 이게 고등학교 동창회라는 것은 알고 있었지만, 이건 그저 터무니없었다!","다시 한 번 지옥으로, 1장"
