번호,Name,Keyword,Main Text,Flavor Text,Flavor Text Name,이름,키워드,메인 텍스트,플레이버 텍스트,플레이버 텍스트 이름
1,Self-Insertion,,Win this Goal when: 3 Twilight Sparkles are shipped in a chain.,"The rift shimmered like a glittering ocean, but Twilight's other self shone like a gorgeous, awe-inspiring star, causing Twilight Prime's breath to catch and her heart to stop.",Narcissism? Ha!,자공자수,,트와일라잇 스파클 3마리가 체인으로 커플링 되어 있습니다.,"균열은 반짝이는 바다처럼 빛을 뿌렸다. 트와일라잇의 다른 자신은 그보다도 밝게, 아름답고 경이로운 별처럼 빛나고 있었다. 트와일라잇 프라임은 심장이 멎는 듯한 기분과 함께 숨이 막히는 듯했다.",자아도취라고? 하!
2,Fabulosity,,Win this Goal when: 2 Rarities are shipped together.,"""I do believe you'd look better with a hat,"" Rarity said to Rarity. ""A fabulous idea. But I think you'd look better WITHOUT it,"" Rarity replied with a sly smile.",Kiss and Tell,매력리티,,래리티 2마리가 서로 커플링 되어 있습니다.,"""넌 모자 쓰는 게 나아 보일 거라고 생각해,"" 래리티는 래리티에게 말했다. ""굉장한 아이디어야. 하지만 넌 모자가 없는 게 나아 보일 것 같아,"" 래리티는 음흉한 미소와 함께 답했다.",키스하고 말해
3,Rainbow Dash Fan Club,,Win this Goal when: 2 Rainbow Dashes are shipped together.,"I bet I could beat you at wrestling!"" shouted Rainbow Dash. The other Rainbow Dash pounced, wings flared. ""You're on!!""",Rock and Roll All Night,레인보우 대쉬 팬클럽,,레인보우 대쉬 2마리가 서로 커플링 되어 있습니다.,"""레슬링으론 날 못 이길걸!"" 레인보우 대쉬가 소리쳤다. 반대편에 선 레인보우 대쉬가 날개를 홱 펼치며 달려들었다. ""해 보자고!""",밤새도록 로큰롤
4,The Quiet Game,,Win this Goal when: 2 Fluttershies are shipped together.,"Um…"" whimpered Fluttershy. ""That's not…I don't…"" The other version of herself, wreathed in flowers, strokes her cheek. ""Don't worry… It's only natural…""",Delving Deeper,침묵의 게임,,플러터샤이 2마리가 서로 커플링 되어 있습니다.,"""어…"" 플러터샤이가 낑낑대며 말했다. ""아냐… 나는…"" 화관을 쓴 다른 플러터샤이가 가만히 발굽을 뻗어 뺨을 쓸었다. ""걱정할 거 없어… 자연스러운 거니까…""",더 깊이 파고들 때
5,Paradox,,Win this Goal when: 2 Pinkie Pies are shipped together.,"Hey! You know what would be really fun?"" asked Pinkie Pie. ""Hopping dimensions so that we can star together in our very own overly sappy romantic fan fiction?!"" squealed the first. ""EXACTLY!!""",Delving Deeper,패러독스,,핑키 파이 2마리가 서로 커플링 되어 있습니다.,"""안뇽! 진짜 재밌는 거 있는데 뭔지 알어?"" 핑키 파이가 물었다. ""다른 차원으로 뿅뿅 넘어가서 우리 둘이 축축하고 끈적하게 연애하는 팬픽션에 출연하는 거?!"" 첫 번째 핑키 파이가 꺅 소리를 질렀다. ""맞아!!""",더 깊이 파고들 때
6,Rodeo,,Win this Goal when: 2 Applejacks are shipped together.,"Ain't so bad,"" Applejack blushed and admitted. ""At least ah know what ah like.""",Delving Deeper,로데오,,애플잭 2마리가 서로 커플링 되어 있습니다.,"""머 개안네."" 애플잭이 얼굴을 붉히며 인정했다. ""나가 멀 좋아하는 지 정도는 아니께.""",더 깊이 파고들 때
7,I Swear I'm Not Gay!,,Win this Goal when: Any {male} is shipped with 3 other {male},"Truth be told, he had questioned before. Maybe, a dirty little voice in his head kept telling him, it was time to stop questioning…",New Experiences,나 진짜 게이 아니라고!,,아무 {male}이 다른 {male} 3마리와 커플링 되어 있습니다.,"실은, 이전에도 스스로 그런 질문을 한 적이 있었다. 머릿속에서 끊임없이 추잡한 말을 속삭여 오던 작은 목소리가 말하던 것처럼, 이제 이런 질문은 그만둘 때일지도 모른다…",새로운 경험
8,It's Not EXACTLY Cheating…,,Win this Goal when: Any single Pony is shipped with 2 versions of another Pony.,"Wh…why're there two of ya?"" Berry slurred as she squinted at Luna, who stood aghast and hurt in the doorway. Nightmare Moon just threw back her head and laughed.",Night Terrors 2: Dead Scared,따지고 보면 불륜은 아니잖아?,,아무 포니 1마리가 다른 한 포니의 2가지 버전과 커플링 되어 있습니다.,"""웨… 공쥬님이 둘이나 있죠?"" 베리가 혀 꼬인 소리로 말하며 루나 공주를 흘끗 쳐다보았다. 루나 공주는 경악에 찬 채 다친 몸으로 문간에 서 있었다. 나이트메어 문이 고개를 뒤로 젖히고는 큰 소리로 웃어댔다.",밤의 공포 2: 죽음의 두려움
9,Princess Pile,,Win this Goal when: 3 Ponies with the Princess keyword are shipped in a chain. Twilight doesn't count for this Goal. She gets to watch.,"""Is it time?"" Cadance inquired as she trotted into the royal chambers. ""It absolutely is,"" Celestia replied, nodding imperiously. Luna squealed and leaped into the pillow pit. ""CUDDLE PILE!!!!!""",The Royal Plot,공주님 덮밥,,"""공주"" 포니 3마리가 체인으로 커플링 되어 있습니다. 트와일라잇은 포함하지 않습니다. 구경해야 하거든요.","""때가 되었나요?"" 케이던스가 침소로 들어서며 물었다. ""그렇단다."" 셀레스티아가 위엄 있게 고개를 끄덕이며 대답했다. 루나가 환호하며 베개 더미로 몸을 던졌다. ""푹신하도다!!!!""",왕실 플롯
10,Shining Armor Approves of This Experiment!,,Win this Goal when: Cadance is shipped with any {female},"Shining Armor smiled at Cadance tenderly. ""I promise I won't get mad. You should explore what you need to explore."" Inside, he was buzzing with excitement!",Secret Pictures,샤이닝 아머가 허락했다구요!,,케이던스가 아무 {female}과 커플링 되어 있습니다.,"샤이닝 아머가 케이던스를 보고 빙긋이 웃으며 말했다. ""화가 난 게 아닙니다. 약속하지요. 그대가 알아야 하는 것을 알지 말라고 할 수는 없지 않습니까."" 그렇게 말하면서도 그의 가슴은 흥분으로 두근거리고 있었다.",비밀 사진
