번호,Name,Keyword,Main Text,Flavor Text,Flavor Text Name,이름,키워드,메인 텍스트,플레이버 텍스트,플레이버 텍스트 이름
0,Fanfic Author Twilight,"Mane 6, Twilight Sparkle",Place this card in the center of the table at the start of the game. This card cannot be moved or removed from the grid. This power cannot be copied.,"She was no writer. She was a prophet. Her words spanned the universes, sang hymns to the terrible improbability of life and love. She was like unto a god, Twilight was.",Element of Magic: An Autobiography,팬픽 작가 트와일라잇,"메인 6, 트와일라잇 스파클",게임을 시작할 때 이 카드를 테이블 중앙에 놓습니다. 이 카드는 필드에서 이동하거나 제거될 수 없습니다. 이 능력은 복사할 수 없습니다.,"그녀는 작가가 아니었다. 그녀는 선지자였다. 그녀의 말은 온 우주의 만물을 담고 있었고, 삶과 사랑의 가혹한 불가능성을 찬미하였다. 트와일라잇, 그녀는 신에 비견될 포니였다.",마법의 원소: 자서전
1,Star Student Twilight,"Mane 6, Twilight Sparkle","Totally Not Cheating (Copy): You may copy the power of any Pony card currently on the shipping grid, except for Changelings.","W-what? This cannot be!"" Trixie stood aghast over the masterful masterpieces Twilight had laid out in runic scrawl on her desk, ""Nopony could solve The Last Riddle! And in such an elegant way… It's IMPOSSIBLE!""",Element of Magic: An Autobiography,일류 학생 트와일라잇,"메인 6, 트와일라잇 스파클",진짜배기 실력 {copy},"""뭐, 뭐라고? 그럴 리가 없어!"" 책상 위에 펼쳐진 트와일라잇의 룬 두루마리 위에 아로새겨진 위대한 걸작을 본 트릭시는 경악했다. ""지금까지 그 누구도 마지막 수수께끼를 풀지 못했는데! 게다가 이렇게 기품 있는 방법으로 풀어내다니… 이건 불가능하다고!""",마법의 원소: 자서전
2,Super Spy Twilight,"Mane 6, Twilight Sparkle","Debriefing (Search): You may search the Ship or Pony discard pile for 1 card of your choice and put it into your hand. If it's still in your hand at the end of your turn, discard it.","""Who are you?"" whispered the blood-soaked mare as she cowered. ""I am Death,"" hissed Twilight Sparkle as she pulled the trigger. Bang!","Of Ponies and Peril, Chapter 2",슈퍼 스파이 트와일라잇,"메인 6, 트와일라잇 스파클",보고 {search},"""넌 뭐야?"" 피범벅이 된 암말이 몸을 떨며 힘겹게 말했다. ""죽음."" 트와일라잇 스파클이 방아쇠를 당기며 낮게 속삭였다. 탕!","포니와 위기, 2장"
3,Private Eye Twilight,"Mane 6, Twilight Sparkle",Pound the Pavement (Swap): You may swap 2 Pony cards on the shipping grid.,"The rain ran its soggy fingers down the icy window panes. I listened to the ice crackle in my glass, pondering what I'd done in a past life to put me into this hell hole. Three dead partners, two bullet wounds, and one long therapy bill later, and here I am. But, as they say in this city, ""You gotta pay the bills.""",Casaflanka,사설 탐정 트와일라잇,"메인 6, 트와일라잇 스파클",거리를 누비다 {swap},"빗줄기가 질척한 손가락으로 얼음장 같은 유리창을 훑어 내려갔다. 나는 잔 속의 얼음이 갈라지는 소리를 들으며, 지난 생에 무슨 죄를 지었길래 지금 이 지옥의 구렁텅이에 처박히고 말았나 생각했다. 죽은 파트너 셋, 총상 두 곳, 긴 의료 청구서 한 장, 그럼에도 나는 살아 있다. 하지만, 이 도시에서 늘 들리는 말처럼, ""밥값은 벌어야 한다.""",카사플랑카
4,Heartless Dictator Rarity,"Mane 6, Rarity, Villain","Violent Coup (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","As Rarity looked down into the viewing pond, her visage darkened. ""No. This will not do. Bring me the pink one's head before she takes my empire down with her!""","Of Ponies and Peril, Chapter 34",냉혹한 독재자 래리티,"메인 6, 래리티, 빌런",폭력적 쿠데타 {replace},"래리티가 마법 연못을 들여다보자, 그녀의 낯빛이 어두워졌다. ""아니, 이래서는 아니 된다. 그 분홍색 녀석이 내 제국을 박살내기 전에 그 자식의 머리를 가져와라!""","포니와 위기, 34장"
5,Dramatically Wounded Rarity,"Mane 6, Rarity",All the Pieces Start to Fall (Swap): You may swap 2 Pony cards on the shipping grid.,"The bang was loud, and Rarity fell, hair seeming weightless, though the shot that took her was weighty indeed.",A Twist and a Shot,비련의 여주인공 래리티,"메인 6, 래리티",모든 게 무너져 내려가 {swap},"총소리는 요란했고, 래리티는 쓰러졌다. 날아든 총탄이 그녀에게서 앗아간 것은 한없이 무거웠지만, 갈기털은 아무 무게 없이 흩날릴 뿐이었다.",트위스트와 총성
6,Black Widow Rarity,"Mane 6, Rarity",Malicious Machinations (New Goal): You may discard 1 active Goal and draw 1 new one to replace it.,"She was black as silk, and sharp as the nighttime wind. The stallions all had eyes for her, but she only had eyes for one thing: Danger.",Casaflanka,블랙 위도우 래리티,"메인 6, 래리티",사악한 음모 {new goal},"그녀는 비단처럼 검고, 밤바람처럼 날카로웠다. 남정네들은 모두 그녀를 쳐다보고 있었으나, 그녀는 단 한 가지만을 바라보고 있었다. 위험 요소.",카사플랑카
7,Tsundere Rainbow Dash,"Mane 6, Rainbow Dash",Bento Box (Draw): You may draw 1 card from the Ship or Pony deck.,"""I-It's not like I like you or anything!"" stammered Rainbow as she blushed furiously. ""I just had extra left over, is all!""","Cherry Blossoms Underhoof, Chapter 3",츤데레 레인보우 대쉬,"메인 6, 레인보우 대쉬",도시락 상자 {draw},"""따, 딱히 널 좋아하거나 그런 건 아니거든!"" 새빨갛게 달아오른 얼굴로 레인보우가 더듬거리며 말했다. ""남는 게 있었을 뿐이니까 착각하지 말라고!""","벚꽃 나무 아래서, 3장"
8,Major General Dash,"Mane 6, Rainbow Dash, Villain",Surgical Strike (New Goal): You may discard 1 active Goal and draw 1 new one to replace it.,"""Are the missiles loaded?"" Rainbow Dash asked sharply. ""Ready, ma'am,"" her lieutenant replied smartly. ""Good. Then fire! And let slip the mares of war.""","Of Ponies and Peril, Chapter 68",사령관 대쉬,"메인 6, 레인보우 대쉬, 빌런",정밀 타격 {new goal},"""미사일 준비됐나?"" 레인보우 대쉬가 날카롭게 물었다. ""네, 준비됐습니다."" 부관이 잽싸게 대답했다. ""좋아, 그럼 쏴 버려! 그 다음 병력을 투입한다.""","포니와 위기, 68장"
9,Broken-Wing Rainbow Dash,"Mane 6, Rainbow Dash","Crash Landing (Replace): While this card is in your hand, you may discard a Pony card from the gird and play this card in its place. This power cannot be copied.","In that instant, her whole existence shattered along with the bones in her wing. She knew she would never fly again.",A Twist and a Shot,꺾인 날개 레인보우 대쉬,"메인 6, 레인보우 대쉬",추락 {replace},"그 순간, 그녀의 존재 가치는 날개뼈와 함께 산산이 부서지고 말았다. 이제 두 번 다시 날 수 없으리라는 것은 그녀도 알고 있었다.",트위스트와 총성
