번호,Name,Keyword,Main Text,Flavor Text,Flavor Text Name,이름,키워드,메인 텍스트,플레이버 텍스트,플레이버 텍스트 이름
1,So THAT'S What That Does!,Race Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes a race of your choice. This cannot affect Changelings.","Serendipity, that's what it was. ""Mistake"" is such an ugly word…",Magical Makeover,그래서 그렇게 된 거였구나!,종족 변경,{race change},"우연한 발견, 바로 그런 것이었다. ""실수""라는 말은 어울리지 않았다.",마법같은 단장
2,Checking It Off My List,,,I am not inexperienced! I've had every sordid relationship imaginable! On paper.,"Twilight's Secret Diary, Volume XIV",리스트 확인하기,,,나도 알 건 다 알아! 상상할 수 있는 온갖 일탈 정도는 다 해봤다고. 글로 배웠지만.,"트와일라잇의 비밀 일기, 14권"
3,Beach Episode,,,"Kefentse's ears droop pitifully as she gazed mournfully across the sand. A misunderstood, wrongfully-accused ostracist like her wouldn't be welcome at a party like that… But her noble head lifts in surprise as a pony waves at her, beckoning her over!","Blood and Shadows, Chapter 12",해변 에피소드,,,"케펜체의 귀는 가련하게 늘어져 있었고, 모래사장 너머를 애처롭게 바라보았다. 누명을 뒤집어 쓰고, 이해받지 못한채 외면받은 그녀는 저런 파티에서 환영받지 못할 것이다… 하지만 그녀는 깜짝 놀라 고개를 들었다. 한 포니가 그녀에게 이리로 오라며 발굽을 흔들고 있었던 것이다!","피와 그림자, 12장"
4,Stuck on a Balcony All Night,,,"At first, when the door latched shut, Fluttershy's stomach sank. But now, as the warmth of Blueblood nestled up close to her kept her warm on this chilly night, her heart flew.",Love Is An Open Door,발코니에서 밤을 지새우며,,,"걸쇠가 걸리며 문이 잠기는 소리에 플러터샤이의 심장이 철렁했다. 하지만 지금, 가까이 자리 잡은 블루블러드의 온기가 이 차가운 밤에 그녀를 따뜻하게 해 주어, 그녀의 마음이 하늘로 날아가는 것 같았다.",사랑은 열린 문
5,Trapped in a Storm,,,Snow was piling up in drifts on the window sill. The fire roared. Two ponies learned so much more of each other that night than they thought they'd ever know.,"Warm Cabin, Cold Night",폭풍우에 갇혀,,,"눈보라를 타고 날리던 눈이 창틀에 쌓여갔다. 피워 놓은 불이 활활 타올랐다. 둘은 서로에 대해 지금까지 알던 것보다 더 많은 것을, 그날 밤에 알게 되었다.","따뜻한 오두막, 차가운 밤"
6,Put a Ring on It,,,"""Twilight! Did you hear?! Pinkie's getting MARRIED!"" Twilight looked up at Spike and then at her suitcase full of booze. ""I heard.""",Dreading Bells,반지 교환이 있겠습니다,,,"""트와일라잇! 들었어?! 핑키가 결혼을 한다지 뭐야!"" 트와일라잇은 스파이크를 힐끗 쳐다보더니, 술병으로 가득 찬 여행 가방으로 다시 시선을 돌렸다. ""들었어.""",두려운 종소리
7,Do You Think Love Can Bloom? Even on a Battlefield?,Timeline Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony's timeline changes to {Dystopia}.",Twilight just stared blankly into her codec at Spike. She was doing that a lot lately.,"Of Ponies and Peril, Chapter 22","전쟁터에서도 사랑이
꽃필 수 있다고 생각하세요?",타임라인 변경,{timeline change},트와일라잇은 통신기 저편의 스파이크를 멍하니 쳐다보기만 할 뿐이었다. 요즘 들어 부쩍 그러고는 했다.,"포니와 위기, 22장"
8,Saw You in a Dream,,,"Luna normally enjoyed spying on the desires hidden in the dreams of other ponies, but never did the princess expect to see an image of HERSELF when engaging in her voyeuristic pursuits. She ought to be embarrased, offended even, but instead she felt… strangely thrilled?",Nocturnal Omissions,꿈에서 본 당신,,,"평소에 루나는 포니들의 꿈속에 감춰진 욕망을 훔쳐보는 취미를 가지고 있었다. 이러한 루나도 사생활 관찰 활동 중에 설마 자기 자신의 형상을 볼 것이라고는 상상도 하지 못했다. 그녀에겐 당혹스럽거나 모욕감을 느껴 마땅한 일이었지만, 대신 그녀가 느낀 것은… 기묘한 흥분감?",야밤에 벌어진 실수
9,"Cabin in the Woods, Awooo!",Play From Discard,"You may choose to play the top card of the Pony discard pile with this Ship, rather than play a Pony card from your hand.","Rarity's heart pounded. If the spooky noises outside didn't get to her, the romantic tension would!",Night Fright,"숲 속의 오두막집, 아우우우!",버린 카드 내기,{play from discard},"래리티의 심장이 두근거렸다. 밖에서 나는 으스스한 소리, 그게 아니였다면 이 로맨틱한 분위기 때문에 미쳐버릴 것만 같았다!",무서운 밤
10,They're at It Again?!,,,"""I swear,"" Celestia murmured as what had become a very familiar sound echoed through the castle corridors. ""I'm going to send her straight back to the moon if that's what it takes to get some peace and quiet.""",Full Moon,또 시작이야?!,,,"""미치겠네."" 성채 복도를 따라 이제는 너무나 일상적인 것이 되어버린 소리가 메아리치며 들려오자, 셀레스티아가 나지막이 중얼거렸다. ""달로 다시 보내버리든가 해야지. 좀 조용하고 평화롭게.""",보름달
11,Unexpected Pregnancy,,,"Bon Bon sputtered, ""What?? … How? … That … WHAT??"" Lyra just shrugged, saying simply, ""Science.""",Pinkie Pi,원치 않은 임신,,,"봉봉이 더듬거리며 물었다. ""뭐?? …어떻게? …그게 …무슨??"" 라이라가 어깨를 으쓱하며 심드렁하게 대답했다. ""과학의 힘이지.""",핑키 π
12,"You Had Me at ""Neigh""",,,"Fluttershy was smitten. She followed him around like a lovesick puppy, fluttering on air, and squeaking unintelligibly. He was her hero… and she, his admirer.",Trapped in Love,첫 말에 반해버렸어요,,,"플러터샤이는 말 그대로 홀딱 반해버렸다. 그녀는 마치 애교 많은 강아지처럼 그의 주위를 따라다녔고, 공중을 날아다니며, 이해할 수 없는 꺅꺅 소리를 내곤 했다. 그는 그녀에게 영웅이었으며… 그녀는 그의 추종자였다.",사랑에 빠지다
13,Step into My Basement,Race Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes a race of your choice. This cannot affect Changelings.","""…Pinkie?"" Rainbow Dash looked around, but only heard giggling from the basement…",Blood Becomes Her,들어올 때는 마음대로지만,종족 변경,{race change},"""…핑키?"" 레인보우 대쉬가 두리번거리며 말했으나, 지하실에서는 웃음소리만 들려올 뿐이었다…",그녀의 피가 되어
14,On the Lam,Timeline Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony's timeline changes to {Dystopia}.","Twilight and Derpy huddled together against the stone wall beneath the storm drain, as the Empire's trains cast flashing lights through the sewer.","Of Ponies and Peril, Chapter 1",도망자,타임라인 변경,{timeline change},트와일라잇과 더피는 배수구 아래 돌벽에 기대어 바싹 달라붙어 있었다. 제국의 열차에서 비추는 탐조등 불빛이 하수구 곳곳으로 새어 들어왔다.,"포니와 위기, 1장"
15,Time For an Experiment!,Race Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes a race of your choice. This cannot affect Changelings.","Twilight skated over her emotions, detaching herself from the conflicting feelings rushing through her. This wasn't a game. This was SCIENCE.",Pinkie Pi,실험할 시간!,종족 변경,{race change},"트와일라잇은 자신의 감정을 외면하고, 머릿속에서 맞부딪치는 감정의 소용돌이와 자신을 분리했다. 이것은 단순한 장난이 아니라, 과학의 발전을 위한 것이니까.",핑키 π
16,I Read That in a Book Once!,,,"Her eyes ached as the letters and symbols seemed to float off the page, arranging themselves before her mind's eye. She couldn't see a pattern… until she could! She gasped: it all finally made sense!",The Divine Pretzel,이거 책에서 본 적 있어!,,,"책에서 각종 문자와 기호들이 떠오르더니, 스스로 정렬되는 것처럼 보이기 시작하자 눈이 아파왔다. 처음에는 패턴이 보이지 않았지만… 곧 알 수 있었다! 숨이 막혔다. 이제 모든 것이 명백해졌으니까!",신성한 프레첼
17,Slap-Slap Kiss,,,"The two titans circled each other, like dragons, like tigers, like sharks. Rarity, the immovable object, Pinkie, the unstoppable force. The East battlements exploded over Rarity's shoulder, as behind Pinkie, the sounds of shots being fired echoed in the palace. The pawns fell around the two deadlocked queens… as they looked into each other's eyes, wondering what the hell they were fighting for…","Of Ponies and Peril, Chapter 97",기습 키스,,,"두 명의 거장은 서로를 노리는 용이나 호랑이, 상어와 같은 기세로 원을 그리며 서로를 살폈다. 래리티는 움직일 수 없는 물체였으며, 핑키는 막을 수 없는 힘이었다. 래리티의 어깨 너머로 동쪽 성벽 창이 폭발하며 박살났고, 핑키의 등 뒤에서 총포가 격발되는 파열음이 터져 나와 왕궁에 메아리쳤다. 교착 상태에 빠진 두 여왕을 둘러싸고 수많은 장기말들이 쓰러져갔다. 둘은 서로를 쏘아보고만 있었다. 그들은 대체 무엇을 위해 싸우고 있는 것인지...","포니와 위기, 97장"
18,Love Poison Is No Joke!,Love Poison,"Instead of playing this ship with a Pony card from your hand, or connecting two ponies already on the grid, you may take a Pony card from the shipping gird and reattach it elsewhere with this Ship. That card's power activates.","Apple Bloom gasped sharply as Scootaloo's eyes began to emit an ominous pink glow. ""Sweetie…"" The pegasus stepped forward. ""Pweety…"" Apple Bloom cringed away. ""Scootaloo, please…"" she wept. But the foal's joyous expression didn't stop. ""…Punkin…Pie!!""",Last Days in Ponyville,사랑의 독약은 장난이 아니야!,사랑의 독약,{love poison},"스쿠틀루의 두 눈에 불길한 분홍 눈빛이 어리기 시작하자 애플블룸은 당황했다. ""이쁜아…"" 스쿠틀루가 한 걸음 내딛었다. ""이뿐아…"" 애플블룸이 움찔했다. ""스쿠틀루, 정신 차려라…"" 아이는 울먹였다. 하지만 기묘한 희열에 들뜬 스쿠틀루의 얼굴은 조금도 변하지 않았다. ""귀욤… 둥아!!""",포니빌 최후의 날
19,Shmoopy Boo!,Love Poison,"Instead of playing this ship with a Pony card from your hand, or connecting two ponies already on the grid, you may take a Pony card from the shipping gird and reattach it elsewhere with this Ship. That card's power activates.","""We have to tie 'em up,"" Apple Bloom said sharply to Sweetie Belle as they clasped tightly to Scootaloo's love-tortured form. ""Blindfold 'em maybe. Or we're never getting out of here alive.""",Last Days in Ponyville,달콤아!,사랑의 독약,{love poison},"""암만 해도 잡아무꾸야쓰긋다."" 스쿠틀루의 애정 행각에 질린 애플블룸이 스위티벨에게 날카롭게 말했다. ""안대도 채우는 게 좋지않긋나. 이런 거라두 안 했다가는 살아서 도망갈 생각은 접어야 할끼다.""",포니빌 최후의 날
20,Want It. Need It.,Love Poison,"Instead of playing this ship with a Pony card from your hand, or connecting two ponies already on the grid, you may take a Pony card from the shipping gird and reattach it elsewhere with this Ship. That card's power activates.","""This is it,"" Sweetie said softly to Apple Bloom as they clasped at the top of the water tower, looking down at the swarming shmooping mass of lovesick ponies. ""I'd say I love you, but…"" She cast a significant glance down. ""Maybe not that much.""",Last Days in Ponyville,원해. 필요해.,사랑의 독약,{love poison},"""이렇게 됐네."" 스위티벨은 애플블룸과 함께 급수탑 꼭대기로 기어올라가, 사랑독에 중독된 포니들이 미친 듯 난리를 벌이는 꼬락서니를 내려다보며 조용히 말했다. ""내가 널 사랑하긴 해도, 그…"" 스위티벨이 의미심장한 눈으로 아래를 쳐다보았다. ""저 정도까진 아니야.""",포니빌 최후의 날
21,Leaving on a Personal Crusade,,,"""There there, no tears,"" Trixie said, brushing a perfect, crystalline tear away from Twilight's exquisite cheek, ""When Trixie comes back, Trixie will be a wizard worthy of you.""",Magical Follies,해야 할 일을 하기 위해,,,"""이런, 울지 말고."" 트와일라잇의 조각 같은 뺨을 타고 구르는 수정 같은 눈물 방울을 트릭시가 닦아 주었다. ""나 트릭시는 네게 어울리는 마법사가 되기 위해 떠나는 거니까.""",마법밖에 모르는 바보들
22,My Little Shotgun Wedding,,,"Of course, there was another, somewhat urgent reason the wedding was so sudden.",Untitled,나의 작은 속도 위반,,,"물론, 결혼식을 서둘러야 하는 데는 다소 급박한 다른 이유가 있었다.",무제
23,Bored on a Sunday Afternoon,,,"By now, Twilight, whose shimmering mane and brilliant mind were beyond compare, was used to her doll coming to life as soon as they were alone together. But she was hardly prepared for this!",The Vagaries of Growing Up,나른한 일요일 오후,,,"다른 데 비할 데 없을 정도로 영롱한 갈기와 훌륭한 마음을 가진 트와일라잇은, 단둘이 있을 때 자신의 인형이 살아나는 것에 익숙해져 있었다. 하지만 이런 일에 대해서는 준비가 거의 되어 있지 않았다!",변덕스런 성장
24,What Did I Do Last Night?!,,,"Twilight was many things. Beautiful. Brilliant. Amazing, really. But one thing she really was not was versed in the protocol for waking up next to a Draconequus and an Alicorn.",Something Completely Different,어젯밤에 뭘 한 거지?!,,,"트와일라잇은 특출났다. 아름답고, 대단하며, 놀라운 포니였다. 정말로. 그러나 어느 날 자고 일어나 보니 한쪽에는 드라코네쿠스가, 다른 한쪽에는 알리콘이 자고 있는 상황에 대해서는 어떻게 대처해야 좋을지 전혀 알지 못했다.",전혀 다른 무언가
25,Have You Met My Friend?,,,"Few things in life were as awkward -- or as dangerous -- as this moment, when Spike tried desperately to explain Gilda's good qualities and came up dreadfully short.",Predator and Prey,내 친구 만나본 적 있냐?,,,"인생 살면서 지금 이 순간처럼 어색하고 위험한 상황도 별로 없을 것이다. 스파이크는 길다가 어느 면에서 훌륭한 녀석인지 기를 쓰고 주절거리기 시작했지만, 얼마 안 가 더 말하지 못했다.",포식자와 피식자
26,Can I Tell You a Secret?,Gender Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes the opposite gender.","Although she was a lot smarter than she looked, Derpy was not, no matter how hard she tried, any good at keeping this kind of secret, and by the time she said anything, her feelings were a secret in the sort of way the ocean is a Zebra named Karl.",My Life With The Doctor,비밀 하나 말해도 될까요?,성별 변경,{gender change},"더피는 보이는 것보다 훨씬 똑똑했지만, 아무리 열심히 노력해도 이런 비밀을 지키는 데는 소질이 없었다. 결국 입을 놀리게 될 때마다 그녀의 감정은 '바다는 사실 카를이라는 이름의 얼룩말이다'라는 것처럼 비밀스러웠다.",닥터와의 삶
27,Oops! Wrong Spell.,Gender Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes the opposite gender.","""The Great and Powerful Trixie may have very slightly caused a number of very slight gender malfunctions.""",Magical Follies,어이쿠! 뿔이 미끄러졌네.,성별 변경,{gender change},"""위대하고 강력한 트릭시는 잔망스러운 수의 포니들에게 앙증맞은 성별 전환 문제를 발생시켰을 수도 있고, 아닐 수도 있노라.""",마법밖에 모르는 바보들
28,Dude Looks Like a Lady,Gender Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes the opposite gender.","""Do you not think we are going too far?"" asked Lotus. Aloe chided her, ""Non! Caramel shall be the most beautiful stallion in all of Equestria!""",Caramel Sweets,"짜식, 여자애 같기는",성별 변경,{gender change},"""선을 넘어따는 쌩각은 안 들어?"" 로터스가 물었다. 알로에가 떽떽거렸다. ""아냐! 이제 온 이퀘쓰트리아에서 캐러멜보다 더 예쁜 남자는 업쓸 꺼야!""",캐러멜 스위트
29,Rule 63,Gender Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes the opposite gender.","In my studies on ""The Internet"" in the mirror universe, I have found something most fascinating!","Twilight's Secret Diary, Volume XXIX",63번 규칙,성별 변경,{gender change},"거울 세계의 '인터넷'이라는 것을 연구한 결과, 대단히 흥미로운 것을 발견할 수 있었다!","트와일라잇의 비밀 일기, 29권"
30,I Wish I Knew How to Quit You!,,,"They both knew this passion would destroy them, but they could not stop themselves!",The Scraps Folder,널 어떻게 떼어내야 할지 모르겠어!,,,"둘 모두, 이 열정이 둘을 파괴할 것이라는 것을 알고 있었지만, 스스로를 멈출 수는 없었다!",스크랩 폴더
31,There Are No Brakes on the Love Train,,,"No honestly I don't CARE if there's no way these two will get together, it's MY fic and I MAKE THE RULES!","Twilight's Secret Diary, Volume XVI","사랑의 열차는
빨간불에도 멈추지 않아",,,솔직히 난 이 둘을 함께 엮을 방법 같은 건 전혀 신경 안 써. 이건 내 픽션이고 내가 규칙을 만드니까!,"트와일라잇의 비밀 일기, 16권"
32,Suspiciously Romantic Random Picnic,,,"Hank eyed the cake suspiciously. Quite apart from the embarrassment of having helped the Crusaders, Fluttershy couldn't meet his eyes for another reason … because soon he'd be as lovestruck as the rest of the town!! She could only pray the antidote they'd made would work…",Last Days in Ponyville,"수상할 정도로 로맨틱한,
뜬금없는 소풍",,,"행크는 의심스러운 눈초리로 케이크를 쳐다보았다. 크루세이더를 도운 당혹감과는 별개로, 플러터샤이는 다른 이유 때문에 그와 눈을 마주칠 수 없었다. 왜냐하면 그도 곧 포니빌의 다른 포니들처럼 사랑에 빠지고 말 테니까!! 플러터샤이는 큐티마크 크루세이더가 만들어 왔다는 해독제가 효과가 있기를 기도할 수밖에 없었다…",포니빌 최후의 날
33,Nothing in Common; Perfect Anyway,,,"Rarity quickly decided Braeburn would be exactly the right stallion to go with in that he was basically a much louder, even more annoying version of Applejack, with the added benefit that he wasn't Applejack.",Sparks Fly,"하나부터 열까지 안 맞긴 해도,
완벽한 관계",,,"브레이번은 애플잭보다도 수다스럽고 신경 긁는 재주가 뛰어났지만, 래리티가 생각하기에 그보다 더 안성맞춤인 사내는 없었다. 무엇보다도, 그는 애플잭이 아니었다.",불꽃이 튀어나와
34,We've Got to Stop Meeting Like This,,,"""Oh, Fluttershy,"" Blueblood sneered, a smug smirk gracing his handsome countenance, ""If only there were somepony who loved you.""",Love Is An Open Door,이런 식으로 만나는 건 그만둬야 해요,,,"""이런, 플러터샤이."" 블루블러드는 비웃으며, 잘생긴 얼굴로 우쭐대듯 히죽거렸다. ""널 사랑해주는 포니가 있었더라면.""",사랑은 열린 문
35,Cult Meeting,Race Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes a race of your choice. This cannot affect Changelings.","Fluttershy gasped! ""Y- you're new here…""",The Faceless Butterfly,사이비 집회,종족 변경,{race change},"플러터샤이는 숨이 턱 막혔다! ""여, 여기 새로 오셨군요…""",얼굴 없는 나비
36,Detention,,,"""Well well well, Miss Sparkle, how good of you to finally join us,"" Discord said with a dominating tone. Twilight trembled, but only for a moment.",A Detention to Remember,지도 교육,,,"""이런 이런, 스파클 양, 마침내 우리와 함께 해주시니 기쁘군요."" 디스코드가 엄숙한 어조로 말했다. 트와일라잇은 몸을 떨었지만, 잠시뿐이었다.",기억에 남을 지도 교육
37,How to Pick Up Mares: A Reference Guide,GET THAT MARE SOME HAY FILLIES LOVE HAY,,[Ed: This flavor text intentionally left blank.],,작업의 정석,,,[참고: 이 플레이버 텍스트는 고의로 비워 둠.],
38,Divine Intervention,,,"""You're kidding, right? … RIGHT?"" Celestia's leer wasn't making Mayor Mare feel any better about this.",Things That Go Bump In The Night,절대자의 간섭,,,"""농담이시죠?… 그렇죠?"" 셀레스티아의 음흉한 웃음에도 메어 시장의 기분은 나아지지 않았다.",밤에 일어나는 일들
39,It's a Sign,,,"Twilight had never seen Pinkie gyrate so. Whatever the pink pony's strange magic was detecting, it was a doozy!",Dreading Bells,또 무슨 일이 생기려고,,,"트와일라잇은 핑키가 저렇게 도는 모습을 본 적이 없었다. 핑키의 이상한 마법이 무엇을 감지했건 간에, 절대로 평범한 것은 아니었다!",두려운 종소리
40,Amnesia!,Play From Discard,"You may choose to play the top card of the Pony discard pile with this Ship, rather than play a Pony card from your hand.","""You're okay!"" Lyra cried, pressing a hoof to Bon Bon's cheek, glistening tears wetting her own. ""Thank Celestia! When I saw you fall into the river…"" Her tearful greeting is stopped as Bon Bon awkwardly pushes Lyra's hoof away, blinking at her quizzically. ""I'm sorry, but… do I know you?""",Insult to Injury,기억상실증!,버린 카드 내기,{play from discard},"""무사했구나!"" 라이라는 봉봉의 뺨에 발굽을 대며 울었고, 빛나는 눈물은 그녀를 적셨다. ""셀레스티아님, 감사합니다! 네가 강에 떨어지는 걸 보고 나는…"" 이 눈물겨운 재회는, 봉봉이 의아한 듯 눈을 깜박이며 어색하게 라이라의 발굽을 밀어내자 멈추었다. ""죄송합니다만… 제가 당신을 아나요?""",엎친데 덮친격
41,The Other Mare,,,"""Well, hello there, I don't know if I've seen you before,"" Twilight said flirtatiously. Caramel started. Didn't Twilight recognize him?",Caramel Sweets,다른 여자,,,"""어머, 안녕하세요. 혹시 전에 만났던가요."" 트와일라잇이 시시덕거리며 말했다. 캐러멜은 놀랐다. 트와일라잇이 날 알아보지 못한건가?",캐러멜 스위트
42,Startling Confession,Gender Change,"When you attach this card to the grid, you may choose one Pony card attached to this Ship. Until the end of your turn, that Pony card becomes the opposite gender.","""Oh, Fluttershy? She was delicious!""",Blood Becomes Her,깜짝 고백,성별 변경,{gender change},"""아하, 플러터샤이? 걔 맛있더라!""",그녀의 피가 되어
43,Now Kiss!,,,"It had gotten into the water supply: that was the first problem. The second? That there was no way to stop it. One by one, Apple Bloom saw ponies babbling saccharine nonsense and forming a skipping, love-drunk, terrifying mob. She looked…and she saw her doom that day.",Last Days in Ponyville,이제 서로 뽀뽀!,,,"그것이 수도관에 들어갔다. 이게 첫 번째 문제였다. 두 번째 문제는? 막을 방법이 없다는 것이었다. 애플블룸은 포니들이 달달한 말들로 수다를 떨고, 방방 뛰어다니며, 사랑에 취한 무시무시한 군중을 이루는 것을 하나하나 목격했다. 그렇게 그녀는… 자기 인생이 끝장나는 모습을 보았다.",포니빌 최후의 날
44,It Was You All Along!,,,The Faceless Mare pulled back her hood to reveal… FLUTTERSHY?!,The Faceless Butterfly,지금까지 다 너였구나!,,,얼굴 없는 여자가 머리에 뒤집어쓴 두건을 뒤로 젖히자… 플러터샤이?!,얼굴 없는 나비
45,Trading Up,,,"There was of course only one problem. Twilight would have to somehow break it to Cheerilee that they weren't, and really never had been, meant to be! How could she keep from breaking the poor mare's heart?",Magical Makeover,환승 이별,,,"물론 여기에는 단 하나의 문제가 있었다. 트와일라잇은 치어릴리와의 관계를 없었던 것으로, 즉 처음부터 아주 없었던 것으로 만들어야만 했다. 어떻게 트와일라잇이 가엾은 치어릴리의 마음을 다치게 하지 않을 수 있겠는가?",마법같은 단장
